<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019-10-14	09:01:00	104285	104290	104235	104235	4	7	5
2019-10-14	09:02:00	104260	104290	104260	104290	2	5	5
2019-10-14	09:04:00	104250	104250	104250	104250	16	21	5
2019-10-14	09:05:00	104290	104295	104265	104265	4	4	5
2019-10-14	09:06:00	104290	104300	104245	104245	26	35	5
2019-10-14	09:07:00	104270	104280	104240	104275	23	32	5
2019-10-14	09:08:00	104285	104345	104285	104320	21	27	5
2019-10-14	09:09:00	104350	104350	104300	104315	11	25	5
2019-10-14	09:10:00	104330	104365	104330	104330	16	36	5
2019-10-14	09:11:00	104340	104340	104310	104310	10	13	5
2019-10-14	09:12:00	104345	104345	104335	104335	5	5	5
2019-10-14	09:13:00	104335	104350	104335	104350	2	6	5
2019-10-14	09:14:00	104340	104355	104325	104355	6	7	5
2019-10-14	09:15:00	104365	104375	104350	104350	12	21	5
2019-10-14	09:16:00	104385	104385	104350	104350	2	3	5
2019-10-14	09:17:00	104380	104380	104350	104350	3	3	5
2019-10-14	09:18:00	104355	104355	104340	104340	5	6	5
2019-10-14	09:19:00	104350	104385	104340	104360	19	32	5
2019-10-14	09:20:00	104370	104370	104325	104325	9	13	5
2019-10-14	09:21:00	104320	104365	104320	104320	26	46	5
2019-10-14	09:22:00	104330	104330	104330	104330	1	1	5
2019-10-14	09:23:00	104345	104345	104345	104345	1	1	5
2019-10-14	09:24:00	104325	104325	104320	104320	4	4	5
2019-10-14	09:25:00	104315	104320	104270	104270	23	48	5
2019-10-14	09:26:00	104270	104275	104270	104270	9	14	5
2019-10-14	09:27:00	104265	104290	104250	104265	22	66	5
2019-10-14	09:28:00	104275	104275	104275	104275	1	1	5
2019-10-14	09:29:00	104275	104290	104275	104290	3	3	5
2019-10-14	09:30:00	104300	104300	104280	104290	3	8	5
2019-10-14	09:31:00	104290	104295	104280	104280	13	29	5
2019-10-14	09:32:00	104285	104285	104270	104270	4	4	5
2019-10-14	09:33:00	104290	104315	104290	104295	10	12	5
2019-10-14	09:35:00	104300	104355	104300	104355	3	7	5
2019-10-14	09:36:00	104380	104385	104360	104360	12	42	5
2019-10-14	09:37:00	104395	104405	104395	104405	12	14	5
2019-10-14	09:38:00	104405	104410	104385	104385	18	18	5
2019-10-14	09:39:00	104415	104440	104415	104440	15	26	5
2019-10-14	09:40:00	104440	104440	104440	104440	6	40	5
2019-10-14	09:41:00	104420	104420	104365	104400	35	62	5
2019-10-14	09:42:00	104400	104420	104390	104390	15	25	5
2019-10-14	09:43:00	104395	104395	104380	104385	5	5	5
2019-10-14	09:44:00	104380	104380	104360	104360	5	5	5
2019-10-14	09:45:00	104370	104375	104335	104360	30	64	5
2019-10-14	09:46:00	104390	104400	104390	104400	3	3	5
2019-10-14	09:48:00	104415	104415	104405	104405	2	2	5
2019-10-14	09:49:00	104390	104390	104390	104390	1	1	5
2019-10-14	09:50:00	104405	104475	104405	104475	45	101	5
2019-10-14	09:51:00	104405	104405	104405	104405	1	1	5
2019-10-14	09:52:00	104450	104470	104430	104435	6	8	5
2019-10-14	09:53:00	104420	104420	104420	104420	1	1	5
2019-10-14	09:54:00	104425	104450	104425	104450	2	2	5
2019-10-14	09:55:00	104460	104465	104460	104465	7	15	5
2019-10-14	09:56:00	104475	104475	104460	104460	8	8	5
2019-10-14	09:58:00	104440	104440	104435	104435	4	4	5
2019-10-14	09:59:00	104420	104420	104420	104420	3	7	5
2019-10-14	10:00:00	104445	104445	104390	104410	9	10	5
2019-10-14	10:01:00	104410	104445	104410	104445	9	14	5
2019-10-14	10:02:00	104420	104425	104400	104400	8	8	5
2019-10-14	10:03:00	104415	104465	104405	104465	11	16	5
2019-10-14	10:04:00	104445	104445	104430	104430	2	2	5
2019-10-14	10:05:00	104455	104495	104450	104450	25	54	5
2019-10-14	10:06:00	104450	104460	104440	104455	15	104	5
2019-10-14	10:07:00	104460	104460	104460	104460	2	6	5
2019-10-14	10:08:00	104430	104430	104350	104410	23	40	5
2019-10-14	10:09:00	104385	104415	104380	104415	12	21	5
2019-10-14	10:10:00	104425	104425	104350	104385	17	20	5
2019-10-14	10:11:00	104405	104435	104390	104425	14	14	5
2019-10-14	10:12:00	104440	104505	104440	104465	15	16	5
2019-10-14	10:13:00	104465	104480	104455	104480	3	3	5
2019-10-14	10:14:00	104445	104445	104385	104390	9	9	5
2019-10-14	10:15:00	104375	104410	104375	104410	7	7	5
2019-10-14	10:16:00	104415	104415	104415	104415	4	4	5
2019-10-14	10:17:00	104410	104445	104405	104435	9	13	5
2019-10-14	10:18:00	104410	104475	104400	104475	27	41	5
2019-10-14	10:19:00	104455	104465	104415	104465	12	12	5
2019-10-14	10:20:00	104475	104540	104475	104530	24	24	5
2019-10-14	10:21:00	104485	104490	104460	104460	9	9	5
2019-10-14	10:22:00	104445	104465	104425	104435	5	5	5
2019-10-14	10:23:00	104440	104495	104440	104485	11	13	5
2019-10-14	10:24:00	104520	104520	104480	104485	10	15	5
2019-10-14	10:25:00	104545	104550	104520	104530	8	8	5
